# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9600.000000000002
  1 0.005 100 0
  2 0.015 100 0
  3 0.025 80 304.734
  4 0.035 100.127 304.738
  5 0.045 99.8727 304.638
  6 0.055 99.9757 304.198
  7 0.065 100.024 302.478
  8 0.075 80.0063 302.195
  9 0.085 100.957 302.187
  10 0.095 99.0372 302.248
  11 0.105 99.8044 302.079
  12 0.115 100.196 301.671
  13 0.125 80.0758 301.768
  14 0.135 101.4 301.7
  15 0.145 98.5245 301.536
  16 0.155 99.4098 301.528
  17 0.165 100.588 301.25
  18 0.175 80.1181 301.277
  19 0.185 101.632 301.198
  20 0.195 98.2521 300.961
  21 0.205 98.9299 301.253
  22 0.215 101.064 301.084
  23 0.225 80.1522 301.123
  24 0.235 101.844 300.913
  25 0.245 98.0104 300.717
  26 0.255 98.4082 300.497
  27 0.265 101.569 300.485
  28 0.275 80.1844 300.217
  29 0.285 101.926 300.383
  30 0.295 97.913 300.205
  31 0.305 98.0353 300.433
  32 0.315 101.911 300.188
  33 0.325 80.2303 300.051
  34 0.335 101.95 300.449
  35 0.345 97.8742 300.209
  36 0.355 97.7104 300.002
  37 0.365 102.178 300.008
  38 0.375 80.2825 299.754
  39 0.385 101.986 299.542
  40 0.395 97.8427 299.502
  41 0.405 97.4176 299.849
  42 0.415 102.395 299.777
  43 0.425 80.3431 299.906
  44 0.435 101.974 299.87
  45 0.445 97.8705 299.563
  46 0.455 97.222 299.513
  47 0.465 102.527 299.26
  48 0.475 80.3721 299.455
  49 0.485 101.942 299.588
  50 0.495 97.9369 299.565
  51 0.505 97.063 299.28
  52 0.515 102.662 299.185
  53 0.525 80.3632 298.873
  54 0.535 101.844 298.907
  55 0.545 98.0678 299.077
  56 0.555 96.9178 299.126
  57 0.565 102.785 299.046
  58 0.575 80.3602 299.022
  59 0.585 101.64 298.927
  60 0.595 98.2968 298.896
  61 0.605 96.7725 298.884
  62 0.615 102.894 298.906
  63 0.625 80.3707 298.812
  64 0.635 101.412 298.625
  65 0.645 98.5506 298.586
  66 0.655 96.7623 298.239
  67 0.665 102.864 298.376
  68 0.675 80.3921 298.214
  69 0.685 101.177 298.278
  70 0.695 98.8044 298.153
  71 0.705 96.8733 298.239
  72 0.715 102.752 298.288
  73 0.725 80.3808 298.367
  74 0.735 100.88 297.894
  75 0.745 99.1138 297.774
  76 0.755 97.0702 297.637
  77 0.765 102.666 297.669
  78 0.775 80.265 297.66
  79 0.785 100.515 297.89
  80 0.795 99.4841 297.723
  81 0.805 97.4281 297.703
  82 0.815 102.392 297.499
  83 0.825 80.1802 297.745
  84 0.835 100.222 297.712
  85 0.845 99.7777 297.611
  86 0.855 97.8834 297.683
  87 0.865 102.031 297.446
  88 0.875 80.0854 297.59
  89 0.885 100.053 297.369
  90 0.895 99.9468 297.266
  91 0.905 98.6378 297.228
  92 0.915 101.347 297.354
  93 0.925 80.0155 297.393
  94 0.935 100.003 296.878
  95 0.945 99.9969 295.382
  96 0.955 99.6745 294.905
  97 0.965 100.325 294.795
  98 0.975 80 294.805
  99 0.985 100 0
  100 0.995 100 0
