# Chunk-averaged data for fix 8 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
200000 100 9599.999999999998
  1 0.005 100 0
  2 0.015 100 0
  3 0.025 80 304.283
  4 0.035 100.084 304.7
  5 0.045 99.9162 304.637
  6 0.055 99.9625 304.674
  7 0.065 100.037 302.338
  8 0.075 80.0009 302.678
  9 0.085 100.538 302.864
  10 0.095 99.4614 301.33
  11 0.105 99.7941 302.053
  12 0.115 100.206 301.641
  13 0.125 80.0033 302.701
  14 0.135 100.64 302.821
  15 0.145 99.3563 301.063
  16 0.155 99.3261 300.825
  17 0.165 100.673 302.376
  18 0.175 80.025 302.333
  19 0.185 101.454 300.807
  20 0.195 98.5226 302.23
  21 0.205 98.7307 302.208
  22 0.215 101.259 301.515
  23 0.225 80.2633 301.032
  24 0.235 102.288 301.081
  25 0.245 97.4592 301.503
  26 0.255 98.6224 300.787
  27 0.265 101.358 300.353
  28 0.275 80.2921 299.895
  29 0.285 102.667 300.289
  30 0.295 97.0606 300.958
  31 0.305 98.2819 299.137
  32 0.315 101.7 299.429
  33 0.325 80.2955 299.763
  34 0.335 102.539 300.195
  35 0.345 97.183 300.038
  36 0.355 98.3113 300.585
  37 0.365 101.673 299.853
  38 0.375 80.2209 298.975
  39 0.385 102.119 299.885
  40 0.395 97.6755 300.034
  41 0.405 98.1956 298.96
  42 0.415 101.775 298.09
  43 0.425 80.1815 298.484
  44 0.435 102.262 298.948
  45 0.445 97.5858 299.444
  46 0.455 98.0644 299.654
  47 0.465 101.878 300.634
  48 0.475 80.1724 300.321
  49 0.485 102.237 300.486
  50 0.495 97.6485 301.108
  51 0.505 98.4937 300.418
  52 0.515 101.433 300.119
  53 0.525 80.1947 299.449
  54 0.535 101.8 299.264
  55 0.545 98.0779 298.913
  56 0.555 98.8698 300.608
  57 0.565 101.038 299.724
  58 0.575 80.1928 299.183
  59 0.585 101.686 298.709
  60 0.595 98.2128 298.69
  61 0.605 98.7891 299.761
  62 0.615 101.095 300.079
  63 0.625 80.1567 298.977
  64 0.635 101.478 297.976
  65 0.645 98.4814 298.776
  66 0.655 98.7495 298.284
  67 0.665 101.215 298.042
  68 0.675 80.0405 299.399
  69 0.685 101.001 299.104
  70 0.695 98.9941 299.8
  71 0.705 98.7651 297.617
  72 0.715 101.222 299.842
  73 0.725 80.0136 300.155
  74 0.735 100.594 298.754
  75 0.745 99.4054 298.192
  76 0.755 98.6896 298.488
  77 0.765 101.303 298.888
  78 0.775 80.0077 297.633
  79 0.785 100.318 297.048
  80 0.795 99.6818 298.499
  81 0.805 98.9382 298.578
  82 0.815 101.06 296.714
  83 0.825 80.0014 295.681
  84 0.835 100.21 296.925
  85 0.845 99.7898 297.209
  86 0.855 99.313 298.857
  87 0.865 100.687 298.025
  88 0.875 80.0005 297.274
  89 0.885 100.056 296.933
  90 0.895 99.9438 298.548
  91 0.905 99.5255 298.69
  92 0.915 100.475 297.282
  93 0.925 80 296.938
  94 0.935 100.003 297.449
  95 0.945 99.9967 294.635
  96 0.955 99.7717 295.456
  97 0.965 100.228 294.449
  98 0.975 80 294.328
  99 0.985 100 0
  100 0.995 100 0
